
# Downloaded from https://www.nutritionvalue.org 
# Restaurant, cheese ravioli with marinara sauce, Italian
# Serving size 1 serving serving size varied by diameter and count of raviloi = 427 g
Nutrient, Amount, Unit
"Calories", 657.58, kcal
"Fat", 24.34, g
"Protein", 30.19, g
"Carbohydrate", 79.00, g
"Maltose", 1.02, g
"Fructose", 3.84, g
"Lactose", 9.99, g
"Sucrose", 0.00, g
"Glucose (dextrose)", 4.36, g
"Trans-octadecadienoic acid", 0.111, g
"Docosenoic trans acid", 0.000, g
"Trans-octadecenoic acid", 0.363, g
"Trans-hexadecenoic acid", 0.056, g
"Hexadecenoic acid", 0.333, g
"Fatty acids, total trans-monoenoic", 0.418, g
"Pentadecenoic acid", 0.000, g
"Fatty acids, total trans-polyenoic", 0.111, g
"Tocotrienol, alpha", 0.04, mg
"Tocotrienol, beta", 0.56, mg
"Tocotrienol, gamma", 0.00, mg
"Tocotrienol, delta", 0.00, mg
"Tocopherol, beta", 0.00, mg
"Tocopherol, gamma", 2.01, mg
"Tocopherol, delta", 0.00, mg
"Eicosapentaenoic n-3 acid", 0.004, g
"Galactose", 0.00, g
"Cis-octadecenoic acid", 5.713, g
"Cis,cis-octadecadienoic n-6 acid", 1.712, g
"Docosenoic cis acid", 0.000, g
"Octadecadienoic CLAs acid", 0.085, g
"Tetracosenoic cis acid", 0.000, g
"Cis,cis-eicosadienoic n-6 acid", 0.004, g
"Cis-hexadecenoic acid", 0.282, g
"Sugars", 19.21, g
"Vitamin B6", 0.384, mg
"Folate", 119.56, mcg
"Pantothenic acid", 2.007, mg
"Vitamin B12", 1.54, mcg
"Fiber", 5.1, g
"Retinol", 166.53, mcg
"Vitamin A", 1763.51, IU
"Copper, Cu", 0.367, mg
"Selenium, Se", 87.1, mcg
"Octadecadienoic acid", 1.904, g
"Manganese, Mn", 0.798, mg
"Starch", 54.10, g
"Hydroxyproline", 0.000, g
"Zinc, Zn", 3.16, mg
"Calcium, Ca", 512.40, mg
"Iron, Fe", 3.50, mg
"Magnesium, Mg", 93.94, mg
"Phosphorus, P", 516.67, mg
"Potassium, K", 832.65, mg
"Sodium, Na", 1306.62, mg
"Eicosadienoic n-6 acid", 0.017, g
"Serine", 1.691, g
"Monounsaturated fatty acids", 7.400, g
"Polyunsaturated fatty acids", 2.391, g
"Arginine", 1.243, g
"Valine", 1.631, g
"Alanine", 1.119, g
"Histidine", 0.687, g
"Glutamic acid", 8.207, g
"Aspartic acid", 2.353, g
"Proline", 5.086, g
"Glycine", 0.807, g
"Docosahexaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.043, g
"Octadecatetraenoic acid", 0.000, g
"Lutein + zeaxanthin", 448.35, mcg
"Tetradecenoic acid", 0.158, g
"Docosanoic acid", 0.017, g
"Cryptoxanthin, beta", 0.00, mcg
"Lycopene", 8048.95, mcg
"Eicosenoic acid", 0.051, g
"Water", 287.33, g
"Trans-octadecatrienoic acid", 0.000, g
"Cis,cis,cis-octadecatrienoic n-3 acid", 0.235, g
"Eicosadienoic n-3 acid", 0.004, g
"Niacin", 5.671, mg
"Docosatetraenoic acid", 0.000, g
"Riboflavin", 0.867, mg
"Tetracosanoic acid", 0.009, g
"Thiamin", 0.436, mg
"Pentadecanoic acid", 0.179, g
"Heptadecanoic acid", 0.111, g
"Phenylalanine", 1.516, g
"Tyrosine", 1.025, g
"Methionine", 0.709, g
"Cystine", 0.512, g
"Leucine", 2.852, g
"Lysine", 2.161, g
"Threonine", 1.200, g
"Isoleucine", 1.375, g
"Tryptophan", 0.559, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.013, g
"Fatty acids, total trans", 0.525, g
"Butanoic acid", 0.359, g
"Saturated fatty acids", 10.914, g
"Cholesterol", 111.02, mg
"Octanoic acid", 0.184, g
"Hexanoic acid", 0.286, g
"Carotene, alpha", 0.00, mcg
"Vitamin E", 2.01, mg
"Vitamin A, RAE", 226.31, mcg
"Carotene, beta", 725.90, mcg
"Octadecatrienoic acid", 0.239, g
"Ash", 6.19, g
"Tetradecanoic acid", 1.648, g
"Hexadecanoic acid", 5.273, g
"Decanoic acid", 0.470, g
"Dodecanoic acid", 0.508, g
"Octadecenoic acid", 6.076, g
"Octadecanoic acid", 1.836, g
"Eicosanoic acid", 0.038, g
"Eicosadienoic acid", 0.026, g
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.004, g
"Heptadecenoic acid", 0.038, g
"Tocopherol, alpha", 2.01, mg
# Downloaded from https://www.nutritionvalue.org 
