
# Downloaded from https://www.nutritionvalue.org 
# Restaurant, chicken parmesan without pasta, Italian
# Serving size 1 pound = 453.592 g
Nutrient, Amount, Unit
"Calories", 925.33, kcal
"Fat", 48.26, g
"Protein", 73.35, g
"Carbohydrate", 49.53, g
"Maltose", 2.31, g
"Fructose", 3.72, g
"Lactose", 1.59, g
"Sucrose", 0.00, g
"Glucose (dextrose)", 4.81, g
"Trans-octadecadienoic acid", 0.127, g
"Docosenoic trans acid", 0.000, g
"Trans-octadecenoic acid", 0.327, g
"Trans-hexadecenoic acid", 0.036, g
"Hexadecenoic acid", 0.531, g
"Fatty acids, total trans-monoenoic", 0.363, g
"Pentadecenoic acid", 0.000, g
"Fatty acids, total trans-polyenoic", 0.127, g
"Tocotrienol, alpha", 0.23, mg
"Tocotrienol, beta", 0.00, mg
"Tocotrienol, gamma", 0.18, mg
"Tocotrienol, delta", 0.00, mg
"Tocopherol, beta", 0.09, mg
"Tocopherol, gamma", 7.35, mg
"Tocopherol, delta", 0.82, mg
"Eicosapentaenoic n-3 acid", 0.005, g
"Galactose", 0.23, g
"Cis-octadecenoic acid", 20.697, g
"Cis,cis-octadecadienoic n-6 acid", 7.326, g
"Docosenoic cis acid", 0.009, g
"Octadecadienoic CLAs acid", 0.073, g
"Tetracosenoic cis acid", 0.027, g
"Cis,cis-eicosadienoic n-6 acid", 0.027, g
"Cis-hexadecenoic acid", 0.494, g
"Sugars", 12.66, g
"Vitamin B6", 0.930, mg
"Folate", 86.18, mcg
"Pantothenic acid", 4.772, mg
"Vitamin B12", 1.81, mcg
"Fiber", 4.1, g
"Retinol", 163.29, mcg
"Vitamin A", 1392.53, IU
"Copper, Cu", 0.322, mg
"Selenium, Se", 112.0, mcg
"Octadecadienoic acid", 7.521, g
"Manganese, Mn", 0.676, mg
"Starch", 29.57, g
"Hydroxyproline", 0.159, g
"Zinc, Zn", 4.31, mg
"Calcium, Ca", 480.81, mg
"Iron, Fe", 3.08, mg
"Magnesium, Mg", 117.93, mg
"Phosphorus, P", 1029.65, mg
"Potassium, K", 1329.02, mg
"Sodium, Na", 2431.25, mg
"Eicosadienoic n-6 acid", 0.041, g
"Serine", 3.166, g
"Monounsaturated fatty acids", 22.090, g
"Polyunsaturated fatty acids", 8.850, g
"Arginine", 4.218, g
"Valine", 3.656, g
"Alanine", 3.561, g
"Histidine", 2.282, g
"Glutamic acid", 12.850, g
"Aspartic acid", 6.187, g
"Proline", 5.933, g
"Glycine", 2.790, g
"Docosahexaenoic n-3 acid", 0.009, g
"Eicosatetraenoic acid", 0.150, g
"Octadecatetraenoic acid", 0.000, g
"Lutein + zeaxanthin", 390.09, mcg
"Tetradecenoic acid", 0.113, g
"Docosanoic acid", 0.100, g
"Cryptoxanthin, beta", 0.00, mcg
"Lycopene", 7280.15, mcg
"Eicosenoic acid", 0.336, g
"Water", 271.61, g
"Trans-octadecatrienoic acid", 0.000, g
"Cis,cis,cis-octadecatrienoic n-3 acid", 0.984, g
"Eicosadienoic n-3 acid", 0.005, g
"Niacin", 27.274, mg
"Docosatetraenoic acid", 0.041, g
"Riboflavin", 0.875, mg
"Tetracosanoic acid", 0.054, g
"Thiamin", 0.363, mg
"Pentadecanoic acid", 0.122, g
"Heptadecanoic acid", 0.095, g
"Phenylalanine", 4.799, g
"Tyrosine", 2.386, g
"Methionine", 1.842, g
"Cystine", 0.903, g
"Leucine", 5.974, g
"Lysine", 6.051, g
"Threonine", 2.980, g
"Isoleucine", 3.252, g
"Tryptophan", 0.921, g
"Docosenoic acid", 0.009, g
"Docosapentaenoic n-3 acid", 0.018, g
"Fatty acids, total trans", 0.490, g
"Butanoic acid", 0.254, g
"Saturated fatty acids", 11.567, g
"Cholesterol", 244.94, mg
"Octanoic acid", 0.118, g
"Hexanoic acid", 0.181, g
"Carotene, alpha", 0.00, mcg
"Vitamin E", 7.89, mg
"Vitamin A, RAE", 204.12, mcg
"Carotene, beta", 512.56, mcg
"Octadecatrienoic acid", 1.034, g
"Ash", 10.84, g
"Tetradecanoic acid", 1.166, g
"Hexadecanoic acid", 6.278, g
"Decanoic acid", 0.295, g
"Dodecanoic acid", 0.349, g
"Octadecenoic acid", 21.024, g
"Octadecanoic acid", 2.386, g
"Eicosanoic acid", 0.172, g
"Eicosadienoic acid", 0.045, g
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.045, g
"Heptadecenoic acid", 0.045, g
"Tocopherol, alpha", 7.89, mg
# Downloaded from https://www.nutritionvalue.org 
