
# Downloaded from https://www.nutritionvalue.org 
# Restaurant, prepared, entree, chicken and rice, Latino
# Serving size 1 pound = 453.592 g
Nutrient, Amount, Unit
"Calories", 789.25, kcal
"Fat", 22.95, g
"Protein", 54.52, g
"Carbohydrate", 90.85, g
"Maltose", 0.00, g
"Fructose", 0.95, g
"Lactose", 0.00, g
"Sucrose", 0.59, g
"Glucose (dextrose)", 0.95, g
"Trans-octadecadienoic acid", 0.077, g
"Docosenoic trans acid", 0.000, g
"Trans-octadecenoic acid", 0.191, g
"Trans-hexadecenoic acid", 0.005, g
"Fatty acids, total trans-monoenoic", 0.195, g
"Pentadecenoic acid", 0.000, g
"Fatty acids, total trans-polyenoic", 0.077, g
"Tocotrienol, alpha", 0.05, mg
"Tocotrienol, beta", 0.00, mg
"Riboflavin", 0.254, mg
"Thiamin", 0.472, mg
"Tocopherol, beta", 0.09, mg
"Tocopherol, gamma", 4.94, mg
"Tocopherol, delta", 1.59, mg
"Galactose", 0.00, g
"Cis-octadecenoic acid", 7.094, g
"Cis,cis-octadecadienoic n-6 acid", 6.169, g
"Docosenoic cis acid", 0.005, g
"Octadecadienoic CLAs acid", 0.023, g
"Tetracosenoic cis acid", 0.009, g
"Cis,cis-eicosadienoic n-6 acid", 0.023, g
"Cis-hexadecenoic acid", 0.730, g
"Sugars", 2.49, g
"Vitamin B6", 0.798, mg
"Pantothenic acid", 4.364, mg
"Vitamin B12", 0.73, mcg
"Fiber", 5.4, g
"Copper, Cu", 0.345, mg
"Selenium, Se", 65.8, mcg
"Octadecadienoic acid", 6.269, g
"Manganese, Mn", 1.379, mg
"Dihydrophylloquinone", 1.8, mcg
"Menaquinone-4", 21.8, mcg
"Zinc, Zn", 3.54, mg
"Calcium, Ca", 81.65, mg
"Iron, Fe", 4.31, mg
"Magnesium, Mg", 81.65, mg
"Phosphorus, P", 553.38, mg
"Potassium, K", 834.61, mg
"Sodium, Na", 2349.61, mg
"Tetradecanoic acid", 0.100, g
"Eicosadienoic n-6 acid", 0.045, g
"Serine", 2.127, g
"Monounsaturated fatty acids", 8.160, g
"Polyunsaturated fatty acids", 7.094, g
"Arginine", 3.611, g
"Valine", 2.808, g
"Alanine", 3.084, g
"Histidine", 1.805, g
"Glutamic acid", 8.523, g
"Aspartic acid", 5.030, g
"Proline", 2.313, g
"Glycine", 2.654, g
"Docosahexaenoic n-3 acid", 0.014, g
"Eicosatetraenoic acid", 0.141, g
"Octadecatetraenoic acid", 0.005, g
"Hexadecenoic acid", 0.735, g
"Tetradecenoic acid", 0.023, g
"Docosanoic acid", 0.027, g
"Eicosapentaenoic n-3 acid", 0.005, g
"Eicosenoic acid", 0.073, g
"Water", 277.24, g
"Cis,cis,cis-octadecatrienoic n-3 acid", 0.522, g
"Eicosadienoic n-3 acid", 0.000, g
"Niacin", 25.211, mg
"Docosatetraenoic acid", 0.032, g
"Tocotrienol, gamma", 0.45, mg
"Tetracosanoic acid", 0.018, g
"Tocotrienol, delta", 0.00, mg
"Pentadecanoic acid", 0.014, g
"Heptadecanoic acid", 0.023, g
"Phenylalanine", 2.331, g
"Tyrosine", 1.583, g
"Methionine", 1.388, g
"Cystine", 0.680, g
"Leucine", 4.232, g
"Lysine", 4.196, g
"Threonine", 2.259, g
"Isoleucine", 2.490, g
"Tryptophan", 0.717, g
"Docosenoic acid", 0.005, g
"Docosapentaenoic n-3 acid", 0.014, g
"Fatty acids, total trans", 0.272, g
"Saturated fatty acids", 4.994, g
"Cholesterol", 163.29, mg
"Octanoic acid", 0.000, g
"Hexanoic acid", 0.000, g
"Vitamin E", 2.27, mg
"Octadecatrienoic acid", 0.549, g
"Ash", 8.03, g
"Starch", 80.56, g
"Hexadecanoic acid", 3.647, g
"Decanoic acid", 0.032, g
"Dodecanoic acid", 0.009, g
"Octadecenoic acid", 7.285, g
"Octadecanoic acid", 1.080, g
"Eicosanoic acid", 0.041, g
"Eicosadienoic acid", 0.045, g
"Vitamin K", 18.1, mcg
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.027, g
"Heptadecenoic acid", 0.032, g
"Tocopherol, alpha", 2.27, mg
# Downloaded from https://www.nutritionvalue.org 
