
# Downloaded from https://www.nutritionvalue.org 
# Restaurant, prepared, beef, empanadas, Latino
# Serving size 100g
Nutrient, Amount, Unit
"Calories", 335.00, kcal
"Fat", 18.37, g
"Protein", 11.31, g
"Carbohydrate", 31.19, g
"Maltose", 1.06, g
"Fructose", 0.38, g
"Lactose", 0.00, g
"Sucrose", 0.00, g
"Glucose (dextrose)", 0.40, g
"Trans-octadecadienoic acid", 0.141, g
"Docosenoic trans acid", 0.000, g
"Trans-octadecenoic acid", 0.672, g
"Trans-hexadecenoic acid", 0.013, g
"Octadecatetraenoic acid", 0.000, g
"Hexadecenoic acid", 0.303, g
"Fatty acids, total trans-monoenoic", 0.686, g
"Pentadecenoic acid", 0.000, g
"Fatty acids, total trans-polyenoic", 0.141, g
"Tocotrienol, alpha", 0.07, mg
"Tocotrienol, beta", 0.00, mg
"Tocotrienol, gamma", 0.07, mg
"Tocotrienol, delta", 0.00, mg
"Tocopherol, beta", 0.07, mg
"Tocopherol, gamma", 2.52, mg
"Tocopherol, delta", 1.00, mg
"Eicosapentaenoic n-3 acid", 0.002, g
"Galactose", 0.00, g
"Cis-octadecenoic acid", 6.030, g
"Cis,cis-octadecadienoic n-6 acid", 3.665, g
"Docosenoic cis acid", 0.001, g
"Octadecadienoic CLAs acid", 0.042, g
"Tetracosenoic cis acid", 0.003, g
"Cis,cis-eicosadienoic n-6 acid", 0.045, g
"Cis-hexadecenoic acid", 0.290, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 1.84, g
"Vitamin B6", 0.148, mg
"Folate", 45.00, mcg
"Pantothenic acid", 0.490, mg
"Vitamin B12", 0.76, mcg
"Fiber", 2.0, g
"Retinol", 10.00, mcg
"Vitamin A", 183.00, IU
"Copper, Cu", 0.097, mg
"Selenium, Se", 24.8, mcg
"Octadecadienoic acid", 3.848, g
"Manganese, Mn", 0.267, mg
"Dihydrophylloquinone", 5.7, mcg
"Menaquinone-4", 2.6, mcg
"Hexadecanoic acid", 3.102, g
"Choline", 30.3, mg
"Zinc, Zn", 1.86, mg
"Calcium, Ca", 20.00, mg
"Iron, Fe", 2.70, mg
"Magnesium, Mg", 21.00, mg
"Phosphorus, P", 103.00, mg
"Potassium, K", 190.00, mg
"Sodium, Na", 440.00, mg
"Eicosadienoic n-6 acid", 0.012, g
"Serine", 0.454, g
"Monounsaturated fatty acids", 7.121, g
"Polyunsaturated fatty acids", 4.268, g
"Arginine", 0.577, g
"Valine", 0.511, g
"Alanine", 0.578, g
"Histidine", 0.309, g
"Glutamic acid", 2.542, g
"Aspartic acid", 0.820, g
"Proline", 0.855, g
"Glycine", 0.568, g
"Docosahexaenoic n-3 acid", 0.002, g
"Eicosatetraenoic acid", 0.029, g
"Tetradecanoic acid", 0.191, g
"Lutein + zeaxanthin", 174.00, mcg
"Tetradecenoic acid", 0.030, g
"Docosanoic acid", 0.020, g
"Cryptoxanthin, beta", 33.00, mcg
"Lycopene", 417.00, mcg
"Eicosenoic acid", 0.082, g
"Water", 37.50, g
"Cis,cis,cis-octadecatrienoic n-3 acid", 0.301, g
"Eicosadienoic n-3 acid", 0.007, g
"Niacin", 4.663, mg
"Docosatetraenoic acid", 0.008, g
"Riboflavin", 0.190, mg
"Tetracosanoic acid", 0.010, g
"Thiamin", 0.277, mg
"Pentadecanoic acid", 0.021, g
"Heptadecanoic acid", 0.067, g
"Phenylalanine", 0.496, g
"Tyrosine", 0.306, g
"Methionine", 0.207, g
"Cystine", 0.157, g
"Leucine", 0.895, g
"Lysine", 0.614, g
"Threonine", 0.413, g
"Isoleucine", 0.461, g
"Tryptophan", 0.118, g
"Docosenoic acid", 0.001, g
"Docosapentaenoic n-3 acid", 0.008, g
"Vitamin C", 0.7, mg
"Alcohol, ethyl", 0.0, g
"Fatty acids, total trans", 0.826, g
"Butanoic acid", 0.000, g
"Saturated fatty acids", 5.156, g
"Cholesterol", 26.00, mg
"Octanoic acid", 0.000, g
"Hexanoic acid", 0.000, g
"Carotene, alpha", 0.00, mcg
"Vitamin E", 0.73, mg
"Vitamin A, RAE", 18.00, mcg
"Carotene, beta", 73.00, mcg
"Vitamin D", 7.00, IU
"Vitamin D (D2 + D3)", 0.2, mcg
"Octadecatrienoic acid", 0.304, g
"Ash", 1.63, g
"Starch", 26.13, g
"Decanoic acid", 0.021, g
"Dodecanoic acid", 0.009, g
"Octadecenoic acid", 6.703, g
"Octadecanoic acid", 1.675, g
"Eicosanoic acid", 0.039, g
"Folate, DFE", 69.00, mcg
"Folate, food", 11.00, mcg
"Eicosadienoic acid", 0.020, g
"Vitamin K", 6.1, mcg
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.003, g
"Heptadecenoic acid", 0.001, g
"Folic acid", 34.00, mcg
"Tocopherol, alpha", 0.73, mg
# Downloaded from https://www.nutritionvalue.org 
