
# Downloaded from https://www.nutritionvalue.org 
# Restaurant, Arroz con frijoles negros (rice and black beans), Latino
# Serving size 1 serving = 461 g
Nutrient, Amount, Unit
"Calories", 696.11, kcal
"Fat", 17.75, g
"Protein", 21.39, g
"Carbohydrate", 112.48, g
"Maltose", 0.00, g
"Fructose", 2.12, g
"Lactose", 0.00, g
"Sucrose", 0.00, g
"Glucose (dextrose)", 1.84, g
"Trans-octadecadienoic acid", 0.065, g
"Docosenoic trans acid", 0.000, g
"Trans-octadecenoic acid", 0.143, g
"Trans-hexadecenoic acid", 0.009, g
"Fatty acids, total trans-monoenoic", 0.152, g
"Pentadecenoic acid", 0.000, g
"Fatty acids, total trans-polyenoic", 0.065, g
"Tocotrienol, alpha", 0.00, mg
"Tocotrienol, beta", 0.00, mg
"Riboflavin", 0.097, mg
"Thiamin", 0.562, mg
"Tocopherol, beta", 0.14, mg
"Tocopherol, gamma", 10.42, mg
"Tocopherol, delta", 2.58, mg
"Galactose", 0.00, g
"Cis-octadecenoic acid", 3.789, g
"Cis,cis-octadecadienoic n-6 acid", 5.975, g
"Docosenoic cis acid", 0.000, g
"Octadecadienoic CLAs acid", 0.014, g
"Tetracosenoic cis acid", 0.000, g
"Cis,cis-eicosadienoic n-6 acid", 0.005, g
"Cis-hexadecenoic acid", 0.083, g
"Sugars", 3.96, g
"Vitamin B6", 0.286, mg
"Pantothenic acid", 1.212, mg
"Fiber", 15.7, g
"Copper, Cu", 0.742, mg
"Selenium, Se", 22.1, mcg
"Octadecadienoic acid", 6.053, g
"Manganese, Mn", 2.042, mg
"Dihydrophylloquinone", 0.0, mcg
"Menaquinone-4", 0.0, mcg
"Zinc, Zn", 3.41, mg
"Calcium, Ca", 170.57, mg
"Iron, Fe", 7.24, mg
"Magnesium, Mg", 119.86, mg
"Phosphorus, P", 401.07, mg
"Potassium, K", 1032.64, mg
"Sodium, Na", 1936.20, mg
"Tetradecanoic acid", 0.152, g
"Eicosadienoic n-6 acid", 0.005, g
"Serine", 1.199, g
"Monounsaturated fatty acids", 4.098, g
"Polyunsaturated fatty acids", 7.178, g
"Arginine", 1.489, g
"Valine", 1.222, g
"Alanine", 0.977, g
"Histidine", 0.585, g
"Glutamic acid", 3.522, g
"Aspartic acid", 2.397, g
"Proline", 0.756, g
"Glycine", 0.830, g
"Docosahexaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.009, g
"Octadecatetraenoic acid", 0.000, g
"Hexadecenoic acid", 0.092, g
"Tetradecenoic acid", 0.018, g
"Docosanoic acid", 0.041, g
"Eicosapentaenoic n-3 acid", 0.000, g
"Eicosenoic acid", 0.055, g
"Water", 301.82, g
"Cis,cis,cis-octadecatrienoic n-3 acid", 1.102, g
"Eicosadienoic n-3 acid", 0.000, g
"Niacin", 4.688, mg
"Docosatetraenoic acid", 0.005, g
"Tocotrienol, gamma", 0.00, mg
"Tetracosanoic acid", 0.023, g
"Tocotrienol, delta", 0.00, mg
"Pentadecanoic acid", 0.018, g
"Heptadecanoic acid", 0.037, g
"Phenylalanine", 1.199, g
"Tyrosine", 0.687, g
"Methionine", 0.318, g
"Cystine", 0.244, g
"Leucine", 1.687, g
"Lysine", 1.176, g
"Threonine", 0.881, g
"Isoleucine", 0.927, g
"Tryptophan", 0.267, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.000, g
"Fatty acids, total trans", 0.217, g
"Saturated fatty acids", 3.361, g
"Octanoic acid", 0.000, g
"Hexanoic acid", 0.000, g
"Vitamin E", 2.17, mg
"Octadecatrienoic acid", 1.102, g
"Ash", 7.51, g
"Starch", 85.61, g
"Hexadecanoic acid", 2.134, g
"Decanoic acid", 0.074, g
"Dodecanoic acid", 0.023, g
"Octadecenoic acid", 3.932, g
"Octadecanoic acid", 0.811, g
"Eicosanoic acid", 0.046, g
"Eicosadienoic acid", 0.005, g
"Vitamin K", 47.5, mcg
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.000, g
"Heptadecenoic acid", 0.000, g
"Tocopherol, alpha", 2.17, mg
# Downloaded from https://www.nutritionvalue.org 
