
# Downloaded from https://www.nutritionvalue.org 
# Restaurant, pupusas con queso (pupusas, cheese), Latino
# Serving size 1 piece = 117 g
Nutrient, Amount, Unit
"Calories", 299.52, kcal
"Fat", 15.50, g
"Protein", 13.71, g
"Carbohydrate", 26.20, g
"Maltose", 0.41, g
"Fructose", 0.23, g
"Lactose", 0.00, g
"Sucrose", 0.28, g
"Glucose (dextrose)", 0.27, g
"Trans-octadecadienoic acid", 0.087, g
"Docosenoic trans acid", 0.000, g
"Trans-octadecenoic acid", 0.296, g
"Trans-hexadecenoic acid", 0.037, g
"Octadecatetraenoic acid", 0.001, g
"Hexadecenoic acid", 0.235, g
"Fatty acids, total trans-monoenoic", 0.333, g
"Pentadecenoic acid", 0.001, g
"Fatty acids, total trans-polyenoic", 0.087, g
"Tocotrienol, alpha", 0.15, mg
"Tocotrienol, beta", 0.01, mg
"Tocotrienol, gamma", 0.36, mg
"Tocotrienol, delta", 0.01, mg
"Tocopherol, beta", 0.01, mg
"Tocopherol, gamma", 1.72, mg
"Tocopherol, delta", 0.16, mg
"Eicosapentaenoic n-3 acid", 0.007, g
"Galactose", 0.21, g
"Cis-octadecenoic acid", 3.305, g
"Cis,cis-octadecadienoic n-6 acid", 1.473, g
"Docosenoic cis acid", 0.001, g
"Octadecadienoic CLAs acid", 0.071, g
"Tetracosenoic cis acid", 0.001, g
"Cis,cis-eicosadienoic n-6 acid", 0.009, g
"Cis-hexadecenoic acid", 0.198, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 1.40, g
"Vitamin B6", 0.174, mg
"Folate", 3.51, mcg
"Pantothenic acid", 0.394, mg
"Vitamin B12", 0.53, mcg
"Fiber", 3.4, g
"Retinol", 101.79, mcg
"Vitamin A", 375.57, IU
"Copper, Cu", 0.043, mg
"Selenium, Se", 17.6, mcg
"Octadecadienoic acid", 1.630, g
"Manganese, Mn", 0.146, mg
"Menaquinone-4", 3.4, mcg
"Hexadecanoic acid", 3.449, g
"Choline", 19.8, mg
"Zinc, Zn", 2.19, mg
"Calcium, Ca", 380.25, mg
"Iron, Fe", 0.66, mg
"Magnesium, Mg", 42.12, mg
"Phosphorus, P", 317.07, mg
"Potassium, K", 140.40, mg
"Sodium, Na", 468.00, mg
"Eicosadienoic n-6 acid", 0.016, g
"Serine", 0.814, g
"Monounsaturated fatty acids", 3.991, g
"Polyunsaturated fatty acids", 1.819, g
"Arginine", 0.564, g
"Valine", 0.867, g
"Alanine", 0.537, g
"Histidine", 0.431, g
"Glutamic acid", 3.223, g
"Aspartic acid", 1.044, g
"Proline", 1.503, g
"Glycine", 0.312, g
"Docosahexaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.023, g
"Tetradecanoic acid", 1.127, g
"Lutein + zeaxanthin", 2.34, mcg
"Tetradecenoic acid", 0.088, g
"Docosanoic acid", 0.013, g
"Cryptoxanthin, beta", 1.17, mcg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.035, g
"Betaine", 0.7, mg
"Water", 58.92, g
"Cis,cis,cis-octadecatrienoic n-3 acid", 0.109, g
"Eicosadienoic n-3 acid", 0.002, g
"Niacin", 0.565, mg
"Docosatetraenoic acid", 0.005, g
"Riboflavin", 0.149, mg
"Tetracosanoic acid", 0.008, g
"Thiamin", 0.049, mg
"Pentadecanoic acid", 0.119, g
"Heptadecanoic acid", 0.080, g
"Phenylalanine", 0.731, g
"Tyrosine", 0.557, g
"Methionine", 0.405, g
"Cystine", 0.113, g
"Leucine", 1.509, g
"Lysine", 1.018, g
"Threonine", 0.536, g
"Isoleucine", 0.661, g
"Tryptophan", 0.178, g
"Docosenoic acid", 0.001, g
"Docosapentaenoic n-3 acid", 0.009, g
"Vitamin C", 0.0, mg
"Alcohol, ethyl", 0.0, g
"Fatty acids, total trans", 0.420, g
"Butanoic acid", 0.270, g
"Saturated fatty acids", 7.580, g
"Cholesterol", 37.44, mg
"Octanoic acid", 0.137, g
"Hexanoic acid", 0.221, g
"Carotene, alpha", 0.00, mcg
"Vitamin E", 0.51, mg
"Vitamin A, RAE", 104.13, mcg
"Carotene, beta", 21.06, mcg
"Vitamin D", 56.16, IU
"Vitamin D (D2 + D3)", 1.4, mcg
"Octadecatrienoic acid", 0.115, g
"Ash", 2.66, g
"Starch", 21.17, g
"Decanoic acid", 0.315, g
"Dodecanoic acid", 0.347, g
"Octadecenoic acid", 3.602, g
"Octadecanoic acid", 1.457, g
"Eicosanoic acid", 0.029, g
"Folate, DFE", 3.51, mcg
"Folate, food", 3.51, mcg
"Eicosadienoic acid", 0.018, g
"Vitamin K", 2.0, mcg
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.005, g
"Heptadecenoic acid", 0.028, g
"Folic acid", 0.00, mcg
"Tocopherol, alpha", 0.51, mg
# Downloaded from https://www.nutritionvalue.org 
