
# Downloaded from https://www.nutritionvalue.org 
# Restaurant, arepa (unleavened cornmeal bread), Latino
# Serving size 1 pound = 453.592 g
Nutrient, Amount, Unit
"Calories", 993.37, kcal
"Fat", 24.40, g
"Protein", 24.86, g
"Carbohydrate", 168.46, g
"Maltose", 1.86, g
"Fructose", 0.00, g
"Lactose", 0.00, g
"Sucrose", 1.50, g
"Glucose (dextrose)", 0.00, g
"Trans-octadecadienoic acid", 0.213, g
"Docosenoic trans acid", 0.000, g
"Trans-octadecenoic acid", 0.431, g
"Trans-hexadecenoic acid", 0.068, g
"Hexadecenoic acid", 0.381, g
"Fatty acids, total trans-monoenoic", 0.494, g
"Pentadecenoic acid", 0.005, g
"Fatty acids, total trans-polyenoic", 0.213, g
"Tocotrienol, alpha", 0.68, mg
"Tocotrienol, beta", 0.36, mg
"Tocotrienol, gamma", 1.68, mg
"Tocotrienol, delta", 0.23, mg
"Tocopherol, beta", 3.90, mg
"Tocopherol, gamma", 2.86, mg
"Tocopherol, delta", 1.68, mg
"Eicosapentaenoic n-3 acid", 0.014, g
"Galactose", 0.00, g
"Cis-octadecenoic acid", 5.761, g
"Cis,cis-octadecadienoic n-6 acid", 3.742, g
"Docosenoic cis acid", 0.000, g
"Octadecadienoic CLAs acid", 0.122, g
"Tetracosenoic cis acid", 0.000, g
"Cis,cis-eicosadienoic n-6 acid", 0.014, g
"Cis-hexadecenoic acid", 0.318, g
"Sugars", 3.95, g
"Vitamin B6", 0.485, mg
"Pantothenic acid", 0.916, mg
"Vitamin B12", 0.00, mcg
"Fiber", 11.8, g
"Retinol", 272.16, mcg
"Vitamin A", 966.15, IU
"Copper, Cu", 0.136, mg
"Selenium, Se", 27.7, mcg
"Octadecadienoic acid", 4.078, g
"Manganese, Mn", 0.526, mg
"Menaquinone-4", 4.5, mcg
"Choline", 20.0, mg
"Zinc, Zn", 3.63, mg
"Calcium, Ca", 403.70, mg
"Iron, Fe", 4.72, mg
"Magnesium, Mg", 122.47, mg
"Phosphorus, P", 530.70, mg
"Potassium, K", 399.16, mg
"Sodium, Na", 1224.70, mg
"Eicosadienoic n-6 acid", 0.023, g
"Serine", 1.306, g
"Monounsaturated fatty acids", 6.867, g
"Polyunsaturated fatty acids", 4.486, g
"Arginine", 0.957, g
"Valine", 1.252, g
"Alanine", 1.551, g
"Histidine", 0.753, g
"Glutamic acid", 4.980, g
"Aspartic acid", 1.647, g
"Proline", 2.304, g
"Glycine", 0.762, g
"Docosahexaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.032, g
"Octadecatetraenoic acid", 0.005, g
"Lutein + zeaxanthin", 18.14, mcg
"Tetradecenoic acid", 0.154, g
"Docosanoic acid", 0.027, g
"Cryptoxanthin, beta", 0.00, mcg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.086, g
"Betaine", 0.9, mg
"Water", 230.42, g
"Cis,cis,cis-octadecatrienoic n-3 acid", 0.295, g
"Eicosadienoic n-3 acid", 0.000, g
"Niacin", 4.028, mg
"Docosatetraenoic acid", 0.009, g
"Riboflavin", 0.191, mg
"Tetracosanoic acid", 0.018, g
"Thiamin", 0.318, mg
"Pentadecanoic acid", 0.200, g
"Heptadecanoic acid", 0.127, g
"Phenylalanine", 1.252, g
"Tyrosine", 0.699, g
"Methionine", 0.594, g
"Cystine", 0.440, g
"Leucine", 3.044, g
"Lysine", 1.034, g
"Threonine", 0.875, g
"Isoleucine", 0.939, g
"Tryptophan", 0.218, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.014, g
"Fatty acids, total trans", 0.712, g
"Butanoic acid", 0.454, g
"Saturated fatty acids", 13.163, g
"Cholesterol", 22.68, mg
"Octanoic acid", 0.227, g
"Hexanoic acid", 0.354, g
"Carotene, alpha", 0.00, mcg
"Vitamin E", 1.32, mg
"Vitamin A, RAE", 276.69, mcg
"Carotene, beta", 31.75, mcg
"Octadecatrienoic acid", 0.299, g
"Ash", 5.40, g
"Tetradecanoic acid", 1.833, g
"Hexadecanoic acid", 6.586, g
"Decanoic acid", 0.508, g
"Dodecanoic acid", 0.558, g
"Octadecenoic acid", 6.192, g
"Octadecanoic acid", 2.191, g
"Eicosanoic acid", 0.059, g
"Eicosadienoic acid", 0.023, g
"Vitamin K", 15.9, mcg
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.009, g
"Heptadecenoic acid", 0.045, g
"Tocopherol, alpha", 1.32, mg
# Downloaded from https://www.nutritionvalue.org 
