
# Downloaded from https://www.nutritionvalue.org 
# Restaurant, without meat, fried rice, Chinese
# Serving size 1 pound = 453.592 g
Nutrient, Amount, Unit
"Calories", 789.25, kcal
"Fat", 13.43, g
"Protein", 18.37, g
"Carbohydrate", 148.73, g
"Maltose", 0.00, g
"Fructose", 0.23, g
"Lactose", 0.00, g
"Sucrose", 1.68, g
"Glucose (dextrose)", 0.59, g
"Trans-octadecadienoic acid", 0.032, g
"Docosenoic trans acid", 0.000, g
"Trans-octadecenoic acid", 0.023, g
"Trans-hexadecenoic acid", 0.000, g
"Octadecatetraenoic acid", 0.000, g
"Hexadecenoic acid", 0.059, g
"Fatty acids, total trans-monoenoic", 0.023, g
"Pentadecenoic acid", 0.000, g
"Fatty acids, total trans-polyenoic", 0.032, g
"Tocotrienol, alpha", 1.41, mg
"Niacin", 2.889, mg
"Tocotrienol, gamma", 0.73, mg
"Tocotrienol, delta", 0.00, mg
"Tocopherol, beta", 0.14, mg
"Tocopherol, gamma", 5.90, mg
"Tocopherol, delta", 1.27, mg
"Eicosapentaenoic n-3 acid", 0.000, g
"Galactose", 0.00, g
"Cis-octadecenoic acid", 2.817, g
"Cis,cis-octadecadienoic n-6 acid", 4.450, g
"Docosenoic cis acid", 0.000, g
"Octadecadienoic CLAs acid", 0.005, g
"Tetracosenoic cis acid", 0.005, g
"Cis,cis-eicosadienoic n-6 acid", 0.005, g
"Cis-hexadecenoic acid", 0.059, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 2.54, g
"Vitamin B6", 0.145, mg
"Folate", 27.22, mcg
"Vitamin B12", 0.00, mcg
"Fiber", 5.0, g
"Retinol", 45.36, mcg
"Vitamin A", 1265.52, IU
"Copper, Cu", 0.431, mg
"Selenium, Se", 37.6, mcg
"Octadecadienoic acid", 4.486, g
"Manganese, Mn", 1.964, mg
"Dihydrophylloquinone", 0.0, mcg
"Menaquinone-4", 0.0, mcg
"Hexadecanoic acid", 1.751, g
"Choline", 24.9, mg
"Zinc, Zn", 3.27, mg
"Calcium, Ca", 54.43, mg
"Iron, Fe", 2.99, mg
"Magnesium, Mg", 45.36, mg
"Phosphorus, P", 231.33, mg
"Potassium, K", 344.73, mg
"Sodium, Na", 1755.40, mg
"Eicosadienoic n-6 acid", 0.000, g
"Serine", 0.953, g
"Monounsaturated fatty acids", 2.944, g
"Polyunsaturated fatty acids", 5.039, g
"Arginine", 1.520, g
"Valine", 1.139, g
"Alanine", 1.093, g
"Histidine", 0.426, g
"Glutamic acid", 4.867, g
"Aspartic acid", 1.846, g
"Proline", 0.853, g
"Glycine", 0.807, g
"Docosahexaenoic n-3 acid", 0.009, g
"Eicosatetraenoic acid", 0.027, g
"Tetradecanoic acid", 0.054, g
"Lutein + zeaxanthin", 467.20, mcg
"Tetradecenoic acid", 0.000, g
"Docosanoic acid", 0.027, g
"Cryptoxanthin, beta", 0.00, mcg
"Lycopene", 13.61, mcg
"Eicosenoic acid", 0.041, g
"Betaine", 0.9, mg
"Water", 268.03, g
"Trans-octadecatrienoic acid", 0.000, g
"Cis,cis,cis-octadecatrienoic n-3 acid", 0.503, g
"Eicosadienoic n-3 acid", 0.000, g
"Tocotrienol, beta", 0.00, mg
"Docosatetraenoic acid", 0.000, g
"Riboflavin", 0.118, mg
"Tetracosanoic acid", 0.018, g
"Thiamin", 0.068, mg
"Pentadecanoic acid", 0.000, g
"Heptadecanoic acid", 0.009, g
"Phenylalanine", 1.021, g
"Tyrosine", 0.699, g
"Methionine", 0.517, g
"Cystine", 0.381, g
"Leucine", 1.520, g
"Lysine", 0.785, g
"Threonine", 0.785, g
"Isoleucine", 0.785, g
"Tryptophan", 0.236, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.000, g
"Vitamin C", 17.2, mg
"Alcohol, ethyl", 0.0, g
"Fatty acids, total trans", 0.050, g
"Butanoic acid", 0.000, g
"Saturated fatty acids", 2.449, g
"Cholesterol", 81.65, mg
"Octanoic acid", 0.000, g
"Hexanoic acid", 0.000, g
"Carotene, alpha", 172.36, mcg
"Vitamin E", 0.59, mg
"Vitamin A, RAE", 99.79, mcg
"Carotene, beta", 580.60, mcg
"Vitamin D3 (cholecalciferol)", 0.0, mcg
"Vitamin D", 0.00, IU
"Vitamin D2 (ergocalciferol)", 0.0, mcg
"Vitamin D (D2 + D3)", 0.0, mcg
"Octadecatrienoic acid", 0.513, g
"Ash", 5.08, g
"Starch", 139.71, g
"Decanoic acid", 0.000, g
"Dodecanoic acid", 0.000, g
"Octadecenoic acid", 2.835, g
"Octadecanoic acid", 0.549, g
"Eicosanoic acid", 0.032, g
"Folate, DFE", 27.22, mcg
"Folate, food", 27.22, mcg
"Eicosadienoic acid", 0.000, g
"Vitamin K", 12.7, mcg
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.009, g
"Heptadecenoic acid", 0.005, g
"Folic acid", 0.00, mcg
"Tocopherol, alpha", 0.59, mg
# Downloaded from https://www.nutritionvalue.org 
