
# Downloaded from https://www.nutritionvalue.org 
# Restaurant, without meat or noodles, vegetable chow mein, Chinese
# Serving size 1 order = 777 g
Nutrient, Amount, Unit
"Calories", 334.11, kcal
"Fat", 13.05, g
"Protein", 10.41, g
"Carbohydrate", 44.60, g
"Maltose", 0.00, g
"Fructose", 5.44, g
"Lactose", 0.00, g
"Sucrose", 9.56, g
"Glucose (dextrose)", 5.44, g
"Trans-octadecadienoic acid", 0.031, g
"Docosenoic trans acid", 0.000, g
"Trans-octadecenoic acid", 0.008, g
"Trans-hexadecenoic acid", 0.000, g
"Lutein + zeaxanthin", 1383.06, mcg
"Fatty acids, total trans-monoenoic", 0.008, g
"Pentadecenoic acid", 0.000, g
"Fatty acids, total trans-polyenoic", 0.031, g
"Tocotrienol, alpha", 0.00, mg
"Tocotrienol, beta", 0.00, mg
"Tocotrienol, gamma", 0.00, mg
"Tocotrienol, delta", 0.00, mg
"Tocopherol, beta", 0.00, mg
"Tocopherol, gamma", 6.68, mg
"Tocopherol, delta", 2.25, mg
"Eicosapentaenoic n-3 acid", 0.000, g
"Galactose", 0.00, g
"Cis-octadecenoic acid", 3.116, g
"Cis,cis-octadecadienoic n-6 acid", 6.084, g
"Docosenoic cis acid", 0.000, g
"Octadecadienoic CLAs acid", 0.008, g
"Tetracosenoic cis acid", 0.000, g
"Cis,cis-eicosadienoic n-6 acid", 0.000, g
"Cis-hexadecenoic acid", 0.023, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 20.44, g
"Vitamin B6", 0.668, mg
"Folate", 310.80, mcg
"Pantothenic acid", 1.787, mg
"Vitamin B12", 0.00, mcg
"Fiber", 9.3, g
"Retinol", 0.00, mcg
"Vitamin A", 2097.90, IU
"Copper, Cu", 0.249, mg
"Selenium, Se", 3.1, mcg
"Octadecadienoic acid", 6.123, g
"Manganese, Mn", 0.870, mg
"Starch", 9.87, g
"Choline", 122.8, mg
"Zinc, Zn", 1.48, mg
"Calcium, Ca", 194.25, mg
"Iron, Fe", 3.26, mg
"Magnesium, Mg", 69.93, mg
"Phosphorus, P", 233.10, mg
"Potassium, K", 1056.72, mg
"Sodium, Na", 2672.88, mg
"Eicosadienoic n-6 acid", 0.000, g
"Monounsaturated fatty acids", 3.193, g
"Polyunsaturated fatty acids", 7.156, g
"Folate, DFE", 310.80, mcg
"Folate, food", 310.80, mcg
"Vitamin K", 146.9, mcg
"Folic acid", 0.00, mcg
"Docosahexaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.000, g
"Octadecatetraenoic acid", 0.000, g
"Hexadecenoic acid", 0.023, g
"Tetradecenoic acid", 0.000, g
"Docosanoic acid", 0.047, g
"Cryptoxanthin, beta", 0.00, mcg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.031, g
"Betaine", 10.1, mg
"Water", 699.92, g
"Trans-octadecatrienoic acid", 0.000, g
"Cis,cis,cis-octadecatrienoic n-3 acid", 1.002, g
"Eicosadienoic n-3 acid", 0.000, g
"Niacin", 3.939, mg
"Docosatetraenoic acid", 0.000, g
"Riboflavin", 0.761, mg
"Tetracosanoic acid", 0.031, g
"Thiamin", 0.155, mg
"Pentadecanoic acid", 0.008, g
"Heptadecanoic acid", 0.016, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.000, g
"Vitamin C", 55.9, mg
"Alcohol, ethyl", 0.0, g
"Fatty acids, total trans", 0.039, g
"Butanoic acid", 0.000, g
"Saturated fatty acids", 2.277, g
"Cholesterol", 0.00, mg
"Octanoic acid", 0.000, g
"Hexanoic acid", 0.000, g
"Carotene, alpha", 217.56, mcg
"Vitamin E", 3.88, mg
"Vitamin A, RAE", 101.01, mcg
"Carotene, beta", 1149.96, mcg
"Vitamin D", 0.00, IU
"Vitamin D (D2 + D3)", 0.0, mcg
"Octadecatrienoic acid", 1.033, g
"Ash", 9.01, g
"Tetradecanoic acid", 0.016, g
"Hexadecanoic acid", 1.476, g
"Decanoic acid", 0.000, g
"Dodecanoic acid", 0.000, g
"Octadecenoic acid", 3.124, g
"Octadecanoic acid", 0.637, g
"Eicosanoic acid", 0.054, g
"Eicosadienoic acid", 0.000, g
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.031, g
"Heptadecenoic acid", 0.008, g
"Tocopherol, alpha", 3.88, mg
# Downloaded from https://www.nutritionvalue.org 
