
# Downloaded from https://www.nutritionvalue.org 
# Restaurant, chicken and vegetables, Chinese
# Serving size 1 order = 693 g
Nutrient, Amount, Unit
"Calories", 658.35, kcal
"Fat", 31.60, g
"Protein", 56.69, g
"Carbohydrate", 37.28, g
"Maltose", 0.00, g
"Fructose", 3.46, g
"Lactose", 0.00, g
"Sucrose", 13.65, g
"Glucose (dextrose)", 3.26, g
"Trans-octadecadienoic acid", 0.062, g
"Docosenoic trans acid", 0.000, g
"Trans-octadecenoic acid", 0.035, g
"Trans-hexadecenoic acid", 0.000, g
"Hexadecenoic acid", 0.201, g
"Fatty acids, total trans-monoenoic", 0.035, g
"Pentadecenoic acid", 0.000, g
"Fatty acids, total trans-polyenoic", 0.062, g
"Tocotrienol, alpha", 0.00, mg
"Niacin", 11.712, mg
"Tocotrienol, gamma", 0.00, mg
"Tocotrienol, delta", 0.00, mg
"Tocopherol, beta", 0.28, mg
"Tocopherol, gamma", 10.67, mg
"Tocopherol, delta", 3.67, mg
"Eicosapentaenoic n-3 acid", 0.000, g
"Galactose", 0.00, g
"Cis-octadecenoic acid", 7.152, g
"Cis,cis-octadecadienoic n-6 acid", 12.259, g
"Docosenoic cis acid", 0.000, g
"Octadecadienoic CLAs acid", 0.021, g
"Tetracosenoic cis acid", 0.000, g
"Cis,cis-eicosadienoic n-6 acid", 0.021, g
"Cis-hexadecenoic acid", 0.201, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 20.30, g
"Vitamin B6", 1.608, mg
"Folate", 277.20, mcg
"Pantothenic acid", 3.049, mg
"Vitamin B12", 0.49, mcg
"Fiber", 6.2, g
"Retinol", 207.90, mcg
"Vitamin A", 4365.90, IU
"Copper, Cu", 0.305, mg
"Selenium, Se", 56.1, mcg
"Octadecadienoic acid", 12.342, g
"Manganese, Mn", 0.873, mg
"Tetradecanoic acid", 0.049, g
"Hydroxyproline", 0.049, g
"Hexadecanoic acid", 3.486, g
"Choline", 289.7, mg
"Zinc, Zn", 2.98, mg
"Calcium, Ca", 138.60, mg
"Iron, Fe", 3.88, mg
"Magnesium, Mg", 103.95, mg
"Phosphorus, P", 505.89, mg
"Potassium, K", 1282.05, mg
"Sodium, Na", 2862.09, mg
"Eicosadienoic n-6 acid", 0.028, g
"Serine", 2.044, g
"Monounsaturated fatty acids", 7.533, g
"Polyunsaturated fatty acids", 14.414, g
"Arginine", 2.924, g
"Valine", 2.231, g
"Alanine", 2.592, g
"Histidine", 1.240, g
"Glutamic acid", 11.227, g
"Aspartic acid", 4.858, g
"Proline", 1.788, g
"Glycine", 1.830, g
"Docosahexaenoic n-3 acid", 0.007, g
"Eicosatetraenoic acid", 0.139, g
"Octadecatetraenoic acid", 0.000, g
"Lutein + zeaxanthin", 2085.93, mcg
"Tetradecenoic acid", 0.007, g
"Docosanoic acid", 0.083, g
"Cryptoxanthin, beta", 0.00, mcg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.125, g
"Betaine", 18.0, mg
"Water", 556.06, g
"Trans-octadecatrienoic acid", 0.000, g
"Cis,cis,cis-octadecatrienoic n-3 acid", 1.781, g
"Eicosadienoic n-3 acid", 0.000, g
"Tocotrienol, beta", 0.00, mg
"Docosatetraenoic acid", 0.042, g
"Riboflavin", 0.832, mg
"Tetracosanoic acid", 0.035, g
"Thiamin", 0.208, mg
"Pentadecanoic acid", 0.014, g
"Heptadecanoic acid", 0.028, g
"Phenylalanine", 1.830, g
"Tyrosine", 1.421, g
"Methionine", 1.130, g
"Cystine", 0.658, g
"Leucine", 3.583, g
"Lysine", 3.146, g
"Threonine", 2.121, g
"Isoleucine", 2.121, g
"Tryptophan", 0.513, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.014, g
"Vitamin C", 56.1, mg
"Alcohol, ethyl", 0.0, g
"Fatty acids, total trans", 0.097, g
"Butanoic acid", 0.000, g
"Saturated fatty acids", 5.336, g
"Cholesterol", 145.53, mg
"Octanoic acid", 0.000, g
"Hexanoic acid", 0.000, g
"Carotene, alpha", 457.38, mcg
"Vitamin E", 5.34, mg
"Vitamin A, RAE", 388.08, mcg
"Carotene, beta", 1981.98, mcg
"Vitamin D3 (cholecalciferol)", 0.0, mcg
"Vitamin D", 0.00, IU
"Vitamin D2 (ergocalciferol)", 0.0, mcg
"Vitamin D (D2 + D3)", 0.0, mcg
"Octadecatrienoic acid", 1.816, g
"Ash", 11.43, g
"Starch", 11.30, g
"Decanoic acid", 0.000, g
"Dodecanoic acid", 0.000, g
"Octadecenoic acid", 7.186, g
"Octadecanoic acid", 1.538, g
"Eicosanoic acid", 0.097, g
"Folate, DFE", 277.20, mcg
"Folate, food", 277.20, mcg
"Eicosadienoic acid", 0.028, g
"Vitamin K", 379.1, mcg
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.035, g
"Heptadecenoic acid", 0.014, g
"Folic acid", 0.00, mcg
"Tocopherol, alpha", 5.34, mg
# Downloaded from https://www.nutritionvalue.org 
