
# Downloaded from https://www.nutritionvalue.org 
# Salad dressing, low calorie, caesar
# Serving size 1 cup = 240 g
Nutrient, Amount, Unit
"Calories", 264.00, kcal
"Fat", 10.56, g
"Protein", 0.72, g
"Carbohydrate", 44.64, g
"Retinol", 2.40, mcg
"Vitamin A", 12.00, IU
"Cholesterol", 4.80, mg
"Lutein + zeaxanthin", 0.00, mcg
"Docosapentaenoic n-3 acid", 0.000, g
"Hexanoic acid", 0.007, g
"Copper, Cu", 0.024, mg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.058, g
"Selenium, Se", 3.8, mcg
"Butanoic acid", 0.019, g
"Manganese, Mn", 0.108, mg
"Thiamin", 0.024, mg
"Saturated fatty acids", 1.687, g
"Octadecatetraenoic acid", 0.002, g
"Octadecenoic acid", 2.422, g
"Eicosatetraenoic acid", 0.000, g
"Water", 175.68, g
"Hexadecanoic acid", 1.126, g
"Niacin", 0.096, mg
"Riboflavin", 0.024, mg
"Hexadecenoic acid", 0.034, g
"Carotene, alpha", 0.00, mcg
"Vitamin E", 1.70, mg
"Vitamin A, RAE", 2.40, mcg
"Carotene, beta", 2.40, mcg
"Vitamin D", 0.00, IU
"Calcium, Ca", 57.60, mg
"Choline", 41.8, mg
"Monounsaturated fatty acids", 2.698, g
"Vitamin D (D2 + D3)", 0.0, mcg
"Eicosapentaenoic n-3 acid", 0.012, g
"Docosenoic acid", 0.158, g
"Zinc, Zn", 0.26, mg
"Dodecanoic acid", 0.014, g
"Ash", 8.40, g
"Tetradecanoic acid", 0.060, g
"Decanoic acid", 0.010, g
"Iron, Fe", 0.43, mg
"Magnesium, Mg", 4.80, mg
"Phosphorus, P", 45.60, mg
"Potassium, K", 69.60, mg
"Sodium, Na", 2755.20, mg
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Octadecanoic acid", 0.410, g
"Sugars", 39.17, g
"Betaine", 1.2, mg
"Cryptoxanthin, beta", 0.00, mcg
"Alcohol, ethyl", 0.0, g
"Folate, DFE", 4.80, mcg
"Folate, food", 4.80, mcg
"Octanoic acid", 0.005, g
"Vitamin C", 0.0, mg
"Octadecadienoic acid", 4.944, g
"Octadecatrienoic acid", 0.698, g
"Vitamin B6", 0.000, mg
"Folate", 4.80, mcg
"Pantothenic acid", 0.007, mg
"Docosahexaenoic n-3 acid", 0.019, g
"Polyunsaturated fatty acids", 5.683, g
"Folic acid", 0.00, mcg
"Vitamin B12", 0.07, mcg
"Vitamin K", 2.4, mcg
"Fiber", 0.2, g
"Tocopherol, alpha", 1.70, mg
# Downloaded from https://www.nutritionvalue.org 
