
# Downloaded from https://www.nutritionvalue.org 
# Vegetarian fillets
# Serving size 1 pound = 453.592 g
Nutrient, Amount, Unit
"Calories", 1315.42, kcal
"Fat", 81.65, g
"Protein", 104.33, g
"Carbohydrate", 40.82, g
"Fatty acids, total trans", 0.000, g
"Retinol", 0.00, mcg
"Vitamin A", 0.00, IU
"Cholesterol", 0.00, mg
"Lutein + zeaxanthin", 0.00, mcg
"Docosapentaenoic n-3 acid", 0.000, g
"Hexanoic acid", 0.000, g
"Copper, Cu", 4.196, mg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.000, g
"Selenium, Se", 4.5, mcg
"Butanoic acid", 0.000, g
"Thiamin", 4.990, mg
"Saturated fatty acids", 12.923, g
"Octadecatetraenoic acid", 0.000, g
"Octadecenoic acid", 19.849, g
"Eicosatetraenoic acid", 0.000, g
"Water", 204.12, g
"Hexadecanoic acid", 8.391, g
"Niacin", 54.431, mg
"Riboflavin", 4.082, mg
"Carotene, alpha", 0.00, mcg
"Vitamin E", 15.65, mg
"Vitamin A, RAE", 0.00, mcg
"Carotene, beta", 0.00, mcg
"Vitamin D", 0.00, IU
"Calcium, Ca", 430.91, mg
"Choline", 371.9, mg
"Monounsaturated fatty acids", 19.849, g
"Vitamin D (D2 + D3)", 0.0, mcg
"Eicosapentaenoic n-3 acid", 0.000, g
"Docosenoic acid", 0.000, g
"Zinc, Zn", 6.35, mg
"Dodecanoic acid", 0.789, g
"Ash", 22.68, g
"Tetradecanoic acid", 0.395, g
"Decanoic acid", 0.000, g
"Iron, Fe", 9.07, mg
"Magnesium, Mg", 104.33, mg
"Phosphorus, P", 2041.16, mg
"Potassium, K", 2721.55, mg
"Sodium, Na", 2222.60, mg
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Octadecanoic acid", 3.348, g
"Sugars", 3.63, g
"Cryptoxanthin, beta", 0.00, mcg
"Alcohol, ethyl", 0.0, g
"Folate, DFE", 462.66, mcg
"Folate, food", 462.66, mcg
"Octanoic acid", 0.000, g
"Vitamin C", 0.0, mg
"Octadecadienoic acid", 37.612, g
"Octadecatrienoic acid", 4.717, g
"Vitamin B6", 6.804, mg
"Folate", 462.66, mcg
"Hexadecenoic acid", 0.000, g
"Docosahexaenoic n-3 acid", 0.000, g
"Polyunsaturated fatty acids", 42.329, g
"Folic acid", 0.00, mcg
"Vitamin B12", 19.05, mcg
"Vitamin K", 0.0, mcg
"Fiber", 27.7, g
"Tocopherol, alpha", 15.65, mg
# Downloaded from https://www.nutritionvalue.org 
