
# Downloaded from https://www.nutritionvalue.org 
# Salad dressing, bacon and tomato
# Serving size 1 cup = 240 g
Nutrient, Amount, Unit
"Calories", 782.40, kcal
"Fat", 84.00, g
"Protein", 4.32, g
"Carbohydrate", 4.80, g
"Retinol", 9.60, mcg
"Vitamin A", 506.40, IU
"Cholesterol", 9.60, mg
"Lutein + zeaxanthin", 69.60, mcg
"Docosapentaenoic n-3 acid", 0.000, g
"Hexanoic acid", 0.019, g
"Copper, Cu", 0.072, mg
"Lycopene", 6232.80, mcg
"Eicosenoic acid", 0.161, g
"Selenium, Se", 3.8, mcg
"Butanoic acid", 0.031, g
"Thiamin", 0.096, mg
"Saturated fatty acids", 13.044, g
"Octadecatetraenoic acid", 0.007, g
"Octadecenoic acid", 19.673, g
"Eicosatetraenoic acid", 0.000, g
"Water", 140.88, g
"Hexadecanoic acid", 9.086, g
"Niacin", 1.680, mg
"Riboflavin", 0.048, mg
"Carotene, alpha", 0.00, mcg
"Vitamin E", 9.60, mg
"Vitamin A, RAE", 26.40, mcg
"Carotene, beta", 220.80, mcg
"Vitamin D", 0.00, IU
"Calcium, Ca", 9.60, mg
"Choline", 39.4, mg
"Monounsaturated fatty acids", 20.196, g
"Vitamin D (D2 + D3)", 0.0, mcg
"Eicosapentaenoic n-3 acid", 0.000, g
"Docosenoic acid", 0.000, g
"Zinc, Zn", 0.48, mg
"Dodecanoic acid", 0.031, g
"Ash", 6.24, g
"Tetradecanoic acid", 0.206, g
"Decanoic acid", 0.029, g
"Iron, Fe", 0.65, mg
"Magnesium, Mg", 14.40, mg
"Phosphorus, P", 60.00, mg
"Potassium, K", 259.20, mg
"Sodium, Na", 2172.00, mg
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Octadecanoic acid", 3.454, g
"Sugars", 4.80, g
"Cryptoxanthin, beta", 124.80, mcg
"Alcohol, ethyl", 0.0, g
"Folate, DFE", 0.00, mcg
"Folate, food", 0.00, mcg
"Octanoic acid", 0.010, g
"Vitamin C", 21.1, mg
"Octadecadienoic acid", 41.386, g
"Octadecatrienoic acid", 5.530, g
"Vitamin B6", 0.192, mg
"Folate", 0.00, mcg
"Hexadecenoic acid", 0.266, g
"Docosahexaenoic n-3 acid", 0.000, g
"Polyunsaturated fatty acids", 47.002, g
"Folic acid", 0.00, mcg
"Vitamin B12", 0.22, mcg
"Vitamin K", 165.8, mcg
"Fiber", 0.5, g
"Tocopherol, alpha", 9.60, mg
# Downloaded from https://www.nutritionvalue.org 
