
# Downloaded from https://www.nutritionvalue.org 
# Breakfast bar, corn flake crust with fruit
# Serving size 100g
Nutrient, Amount, Unit
"Calories", 377.00, kcal
"Fat", 7.50, g
"Protein", 4.40, g
"Carbohydrate", 72.90, g
"Retinol", 608.00, mcg
"Vitamin A", 2027.00, IU
"Cholesterol", 0.00, mg
"Lutein + zeaxanthin", 40.00, mcg
"Docosapentaenoic n-3 acid", 0.000, g
"Hexanoic acid", 0.000, g
"Copper, Cu", 0.100, mg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.023, g
"Selenium, Se", 15.0, mcg
"Butanoic acid", 0.000, g
"Thiamin", 1.000, mg
"Saturated fatty acids", 1.500, g
"Octadecatetraenoic acid", 0.000, g
"Octadecenoic acid", 4.977, g
"Eicosatetraenoic acid", 0.000, g
"Water", 14.50, g
"Hexadecanoic acid", 0.860, g
"Niacin", 13.500, mg
"Riboflavin", 1.100, mg
"Hexadecenoic acid", 0.054, g
"Carotene, alpha", 0.00, mcg
"Vitamin E", 0.76, mg
"Vitamin A, RAE", 608.00, mcg
"Carotene, beta", 0.00, mcg
"Vitamin D", 0.00, IU
"Calcium, Ca", 41.00, mg
"Choline", 34.3, mg
"Monounsaturated fatty acids", 5.000, g
"Vitamin D (D2 + D3)", 0.0, mcg
"Eicosapentaenoic n-3 acid", 0.000, g
"Docosenoic acid", 0.003, g
"Zinc, Zn", 4.10, mg
"Dodecanoic acid", 0.002, g
"Ash", 0.80, g
"Tetradecanoic acid", 0.001, g
"Decanoic acid", 0.000, g
"Iron, Fe", 4.86, mg
"Magnesium, Mg", 27.00, mg
"Phosphorus, P", 103.00, mg
"Potassium, K", 197.00, mg
"Sodium, Na", 297.00, mg
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Octadecanoic acid", 0.153, g
"Sugars", 35.10, g
"Cryptoxanthin, beta", 0.00, mcg
"Alcohol, ethyl", 0.0, g
"Folate, DFE", 174.00, mcg
"Folate, food", 13.00, mcg
"Octanoic acid", 0.000, g
"Vitamin C", 0.0, mg
"Octadecadienoic acid", 0.850, g
"Octadecatrienoic acid", 0.056, g
"Vitamin B6", 1.400, mg
"Folate", 108.00, mcg
"Pantothenic acid", 0.000, mg
"Docosahexaenoic n-3 acid", 0.000, g
"Polyunsaturated fatty acids", 0.900, g
"Folic acid", 95.00, mcg
"Vitamin B12", 0.00, mcg
"Vitamin K", 13.8, mcg
"Fiber", 2.1, g
"Tocopherol, alpha", 0.76, mg
# Downloaded from https://www.nutritionvalue.org 
