
# Downloaded from https://www.nutritionvalue.org 
# Sausage, smoked, with cheddar cheese, pork and beef
# Serving size 100g
Nutrient, Amount, Unit
"Calories", 296.00, kcal
"Fat", 25.84, g
"Protein", 12.89, g
"Carbohydrate", 2.13, g
"Retinol", 0.00, mcg
"Vitamin A", 0.00, IU
"Cholesterol", 63.00, mg
"Lutein + zeaxanthin", 0.00, mcg
"Docosapentaenoic n-3 acid", 0.000, g
"Hexanoic acid", 0.000, g
"Copper, Cu", 0.070, mg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.000, g
"Selenium, Se", 7.5, mcg
"Butanoic acid", 0.000, g
"Manganese, Mn", 0.032, mg
"Thiamin", 0.249, mg
"Monounsaturated fatty acids", 12.357, g
"Glycine", 0.910, g
"Octadecatetraenoic acid", 0.000, g
"Octadecenoic acid", 11.325, g
"Eicosapentaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.000, g
"Water", 56.11, g
"Hexadecanoic acid", 5.787, g
"Serine", 0.600, g
"Riboflavin", 0.160, mg
"Dodecanoic acid", 0.091, g
"Hexadecenoic acid", 1.032, g
"Carotene, alpha", 0.00, mcg
"Niacin", 2.900, mg
"Vitamin A, RAE", 0.00, mcg
"Carotene, beta", 0.00, mcg
"Vitamin D", 12.00, IU
"Calcium, Ca", 57.00, mg
"Methionine", 0.360, g
"Cystine", 0.150, g
"Vitamin D (D2 + D3)", 0.3, mcg
"Lysine", 1.160, g
"Threonine", 0.540, g
"Isoleucine", 0.620, g
"Tryptophan", 0.150, g
"Docosenoic acid", 0.000, g
"Zinc, Zn", 2.25, mg
"Phenylalanine", 0.560, g
"Ash", 3.03, g
"Histidine", 0.470, g
"Tetradecanoic acid", 0.507, g
"Decanoic acid", 0.082, g
"Iron, Fe", 0.73, mg
"Magnesium, Mg", 13.00, mg
"Phosphorus, P", 178.00, mg
"Potassium, K", 206.00, mg
"Sodium, Na", 848.00, mg
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Octadecanoic acid", 3.016, g
"Saturated fatty acids", 9.482, g
"Sugars", 0.11, g
"Cryptoxanthin, beta", 0.00, mcg
"Leucine", 1.100, g
"Alcohol, ethyl", 0.0, g
"Tyrosine", 0.520, g
"Folate, DFE", 3.00, mcg
"Glutamic acid", 2.350, g
"Folate, food", 3.00, mcg
"Octanoic acid", 0.000, g
"Vitamin C", 0.0, mg
"Octadecadienoic acid", 2.373, g
"Octadecatrienoic acid", 0.362, g
"Vitamin B6", 0.130, mg
"Folate", 3.00, mcg
"Pantothenic acid", 0.760, mg
"Docosahexaenoic n-3 acid", 0.000, g
"Polyunsaturated fatty acids", 2.735, g
"Arginine", 0.840, g
"Valine", 0.690, g
"Alanine", 0.830, g
"Folic acid", 0.00, mcg
"Vitamin B12", 1.73, mcg
"Aspartic acid", 1.240, g
"Proline", 0.970, g
"Fiber", 0.0, g
# Downloaded from https://www.nutritionvalue.org 
