
# Downloaded from https://www.nutritionvalue.org 
# Cherries, raw, sweet
# Serving size 1 pound = 453.592 g
Nutrient, Amount, Unit
"Calories", 285.76, kcal
"Fat", 0.91, g
"Protein", 4.81, g
"Carbohydrate", 72.62, g
"Maltose", 0.54, g
"Fructose", 24.36, g
"Lactose", 0.00, g
"Sucrose", 0.68, g
"Glucose (dextrose)", 29.89, g
"Hexadecenoic acid", 0.005, g
"Tocotrienol, alpha", 0.14, mg
"Tocotrienol, beta", 0.00, mg
"Tocotrienol, gamma", 0.00, mg
"Tocotrienol, delta", 0.00, mg
"Tocopherol, beta", 0.05, mg
"Tocopherol, gamma", 0.18, mg
"Tocopherol, delta", 0.00, mg
"Eicosapentaenoic n-3 acid", 0.000, g
"Galactose", 2.68, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 58.15, g
"Vitamin B6", 0.222, mg
"Folate", 18.14, mcg
"Pantothenic acid", 0.903, mg
"Vitamin B12", 0.00, mcg
"Fiber", 9.5, g
"Retinol", 0.00, mcg
"Vitamin A", 290.30, IU
"Fluoride, F", 9.1, mcg
"Copper, Cu", 0.272, mg
"Selenium, Se", 0.0, mcg
"Octadecadienoic acid", 0.122, g
"Manganese, Mn", 0.318, mg
"Dihydrophylloquinone", 0.0, mcg
"Tetradecanoic acid", 0.005, g
"Hexadecanoic acid", 0.122, g
"Choline", 27.7, mg
"Zinc, Zn", 0.32, mg
"Calcium, Ca", 58.97, mg
"Iron, Fe", 1.63, mg
"Magnesium, Mg", 49.90, mg
"Phosphorus, P", 95.25, mg
"Potassium, K", 1006.97, mg
"Sodium, Na", 0.00, mg
"Serine", 0.136, g
"Monounsaturated fatty acids", 0.213, g
"Polyunsaturated fatty acids", 0.236, g
"Arginine", 0.082, g
"Valine", 0.109, g
"Alanine", 0.118, g
"Histidine", 0.068, g
"Glutamic acid", 0.376, g
"Aspartic acid", 2.581, g
"Proline", 0.177, g
"Glycine", 0.104, g
"Docosahexaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.000, g
"Octadecatetraenoic acid", 0.000, g
"Lutein + zeaxanthin", 385.55, mcg
"Cryptoxanthin, beta", 0.00, mcg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.000, g
"Water", 373.08, g
"Niacin", 0.699, mg
"Riboflavin", 0.150, mg
"Thiamin", 0.122, mg
"Phenylalanine", 0.109, g
"Tyrosine", 0.064, g
"Methionine", 0.045, g
"Cystine", 0.045, g
"Leucine", 0.136, g
"Lysine", 0.145, g
"Threonine", 0.100, g
"Isoleucine", 0.091, g
"Tryptophan", 0.041, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.000, g
"Vitamin C", 31.8, mg
"Phytosterols", 54.43, mg
"Alcohol, ethyl", 0.0, g
"Fatty acids, total trans", 0.000, g
"Butanoic acid", 0.000, g
"Saturated fatty acids", 0.172, g
"Cholesterol", 0.00, mg
"Octanoic acid", 0.000, g
"Hexanoic acid", 0.000, g
"Carotene, alpha", 0.00, mcg
"Vitamin E", 0.32, mg
"Vitamin A, RAE", 13.61, mcg
"Carotene, beta", 172.36, mcg
"Vitamin D", 0.00, IU
"Vitamin D (D2 + D3)", 0.0, mcg
"Octadecatrienoic acid", 0.118, g
"Ash", 2.18, g
"Starch", 0.00, g
"Decanoic acid", 0.000, g
"Dodecanoic acid", 0.000, g
"Octadecenoic acid", 0.213, g
"Octadecanoic acid", 0.041, g
"Folate, DFE", 18.14, mcg
"Folate, food", 18.14, mcg
"Vitamin K", 9.5, mcg
"Folic acid", 0.00, mcg
"Tocopherol, alpha", 0.32, mg
# Downloaded from https://www.nutritionvalue.org 
