
# Downloaded from https://www.nutritionvalue.org 
# Fruit salad, solids and liquids, juice pack, canned, (peach and pear and apricot and pineapple and cherry)
# Serving size 1 cup = 249 g
Nutrient, Amount, Unit
"Calories", 124.50, kcal
"Fat", 0.07, g
"Protein", 1.27, g
"Carbohydrate", 32.49, g
"Fatty acids, total trans", 0.000, g
"Retinol", 0.00, mcg
"Vitamin A", 1494.00, IU
"Cholesterol", 0.00, mg
"Copper, Cu", 0.125, mg
"Octadecadienoic acid", 0.025, g
"Manganese, Mn", 0.376, mg
"Saturated fatty acids", 0.010, g
"Octadecenoic acid", 0.012, g
"Water", 214.51, g
"Hexadecanoic acid", 0.007, g
"Riboflavin", 0.035, mg
"Niacin", 0.886, mg
"Vitamin A, RAE", 74.70, mcg
"Thiamin", 0.027, mg
"Vitamin C", 8.2, mg
"Vitamin D", 0.00, IU
"Monounsaturated fatty acids", 0.012, g
"Vitamin D (D2 + D3)", 0.0, mcg
"Zinc, Zn", 0.35, mg
"Octadecatrienoic acid", 0.002, g
"Ash", 0.65, g
"Calcium, Ca", 27.39, mg
"Iron, Fe", 0.62, mg
"Magnesium, Mg", 19.92, mg
"Phosphorus, P", 34.86, mg
"Potassium, K", 288.84, mg
"Sodium, Na", 12.45, mg
"Octadecanoic acid", 0.002, g
"Folate, DFE", 7.47, mcg
"Folate, food", 7.47, mcg
"Vitamin B6", 0.067, mg
"Folate", 7.47, mcg
"Pantothenic acid", 0.132, mg
"Polyunsaturated fatty acids", 0.027, g
"Folic acid", 0.00, mcg
"Vitamin B12", 0.00, mcg
"Fiber", 2.5, g
# Downloaded from https://www.nutritionvalue.org 
