
# Downloaded from https://www.nutritionvalue.org 
# Orange peel, raw
# Serving size 1 pound = 453.592 g
Nutrient, Amount, Unit
"Calories", 439.98, kcal
"Fat", 0.91, g
"Protein", 6.80, g
"Carbohydrate", 113.40, g
"Fatty acids, total trans", 0.000, g
"Retinol", 0.00, mcg
"Vitamin A", 1905.09, IU
"Cholesterol", 0.00, mg
"Hexadecenoic acid", 0.023, g
"Docosapentaenoic n-3 acid", 0.000, g
"Hexanoic acid", 0.000, g
"Copper, Cu", 0.417, mg
"Eicosapentaenoic n-3 acid", 0.000, g
"Eicosenoic acid", 0.000, g
"Selenium, Se", 4.5, mcg
"Butanoic acid", 0.000, g
"Saturated fatty acids", 0.109, g
"Octadecatetraenoic acid", 0.000, g
"Octadecenoic acid", 0.145, g
"Water", 328.85, g
"Hexadecanoic acid", 0.095, g
"Phytosterols", 154.22, mg
"Niacin", 4.082, mg
"Riboflavin", 0.408, mg
"Vitamin E", 1.13, mg
"Vitamin A, RAE", 95.25, mcg
"Thiamin", 0.544, mg
"Vitamin C", 616.9, mg
"Calcium, Ca", 730.28, mg
"Eicosatetraenoic acid", 0.000, g
"Monounsaturated fatty acids", 0.163, g
"Docosenoic acid", 0.000, g
"Zinc, Zn", 1.13, mg
"Dodecanoic acid", 0.000, g
"Ash", 3.63, g
"Tetradecanoic acid", 0.005, g
"Decanoic acid", 0.000, g
"Iron, Fe", 3.63, mg
"Magnesium, Mg", 99.79, mg
"Phosphorus, P", 95.25, mg
"Potassium, K", 961.62, mg
"Sodium, Na", 13.61, mg
"Octadecadienoic acid", 0.132, g
"Octadecanoic acid", 0.005, g
"Alcohol, ethyl", 0.0, g
"Folate, DFE", 136.08, mcg
"Folate, food", 136.08, mcg
"Octanoic acid", 0.000, g
"Docosahexaenoic n-3 acid", 0.000, g
"Octadecatrienoic acid", 0.050, g
"Vitamin B6", 0.798, mg
"Folate", 136.08, mcg
"Pantothenic acid", 2.223, mg
"Polyunsaturated fatty acids", 0.181, g
"Folic acid", 0.00, mcg
"Vitamin B12", 0.00, mcg
"Fiber", 48.1, g
"Tocopherol, alpha", 1.13, mg
# Downloaded from https://www.nutritionvalue.org 
